time_min,cellobiose_millimolar,digitization_uncertainty_millimolar,marker_center_x_pixel,marker_center_y_pixel
0,222.273,0.600,1023.9,316.5
5,150.374,0.600,1063.1,448.3
10,122.182,0.600,1103.0,500.0
15,102.745,0.600,1143.1,535.6
20,84.785,0.600,1183.1,568.6
30,67.336,0.600,1263.0,600.6
40,54.000,0.600,1342.5,625.0
50,43.636,0.600,1422.0,644.0
60,36.662,0.600,1501.4,656.8
