time_min,cellobiose_millimolar,digitization_uncertainty_millimolar,marker_center_x_pixel,marker_center_y_pixel
0,62.455,0.600,375.0,609.5
5,37.364,0.600,415.5,655.5
10,27.545,0.600,454.5,673.5
15,22.091,0.600,495.5,683.5
20,18.000,0.600,534.5,691.0
30,12.273,0.600,614.5,701.5
40,9.000,0.600,694.0,707.5
50,6.818,0.600,773.5,711.5
60,5.182,0.600,853.5,714.5
