time_min,cellobiose_millimolar,digitization_uncertainty_millimolar,marker_center_x_pixel,marker_center_y_pixel
0,227.182,0.600,375.0,307.5
5,182.163,0.600,415.4,390.0
10,165.619,0.600,455.1,420.4
15,155.430,0.600,494.6,439.0
20,144.818,0.600,534.5,458.5
30,128.248,0.600,613.9,488.9
40,113.455,0.600,693.0,516.0
50,102.517,0.600,773.1,536.1
60,93.577,0.600,852.5,552.4
