time_h,conversion_percent,cellobiose_millimolar,digitization_uncertainty_percent,digitization_uncertainty_millimolar,marker_center_x_pixel,marker_center_y_pixel
1.0,33.43,194.478,1.00,2.921,68.5,163.1
2.0,49.24,148.295,1.00,2.921,95.5,132.0
3.5,61.68,111.963,1.00,2.921,136.1,107.5
5.0,72.59,80.079,1.00,2.921,176.5,86.0
7.0,76.60,68.351,1.00,2.921,230.9,78.1
10.0,79.62,59.540,1.00,2.921,312.2,72.2
